frequency;num_words;rel_num_words
1;531;0.22433460076045628
2;325;0.13730460498521335
3;185;0.0781580059146599
4;162;0.06844106463878327
5;144;0.060836501901140684
6;85;0.035910435149978874
7;74;0.03126320236586396
8;62;0.02619349387410224
9;52;0.021968736797634135
10;42;0.017743979721166033
11;45;0.019011406844106463
12;44;0.018588931136459652
13;41;0.017321504013519222
14;36;0.015209125475285171
15;30;0.012674271229404309
16;25;0.010561892691170258
17;17;0.007182087029995775
18;22;0.009294465568229826
19;17;0.007182087029995775
20;26;0.010984368398817067
21;23;0.009716941275876637
22;11;0.004647232784114913
23;16;0.006759611322348965
24;10;0.004224757076468103
25;10;0.004224757076468103
26;8;0.0033798056611744824
27;11;0.004647232784114913
28;12;0.005069708491761723
29;11;0.004647232784114913
30;8;0.0033798056611744824
31;9;0.0038022813688212928
32;4;0.0016899028305872412
33;3;0.0012674271229404308
34;11;0.004647232784114913
35;10;0.004224757076468103
36;9;0.0038022813688212928
37;2;0.0008449514152936206
38;7;0.002957329953527672
39;6;0.0025348542458808617
40;6;0.0025348542458808617
41;8;0.0033798056611744824
42;8;0.0033798056611744824
43;6;0.0025348542458808617
44;3;0.0012674271229404308
45;7;0.002957329953527672
46;6;0.0025348542458808617
47;7;0.002957329953527672
48;4;0.0016899028305872412
49;4;0.0016899028305872412
