frequency;num_words;rel_num_words
1;413;0.2039506172839506
2;229;0.11308641975308642
3;188;0.09283950617283951
4;142;0.07012345679012345
5;128;0.06320987654320988
6;90;0.044444444444444446
7;74;0.03654320987654321
8;67;0.03308641975308642
9;58;0.028641975308641977
10;53;0.02617283950617284
11;50;0.024691358024691357
12;36;0.017777777777777778
13;39;0.01925925925925926
14;28;0.013827160493827161
15;21;0.01037037037037037
16;19;0.009382716049382716
17;13;0.006419753086419753
18;18;0.008888888888888889
19;11;0.005432098765432099
20;15;0.007407407407407408
21;17;0.008395061728395062
22;8;0.003950617283950617
23;16;0.007901234567901235
24;12;0.005925925925925926
25;10;0.0049382716049382715
26;12;0.005925925925925926
27;8;0.003950617283950617
28;7;0.0034567901234567903
29;13;0.006419753086419753
30;10;0.0049382716049382715
31;7;0.0034567901234567903
32;8;0.003950617283950617
33;5;0.0024691358024691358
34;3;0.0014814814814814814
35;3;0.0014814814814814814
36;3;0.0014814814814814814
37;8;0.003950617283950617
38;2;0.0009876543209876543
39;6;0.002962962962962963
40;5;0.0024691358024691358
41;4;0.0019753086419753087
42;3;0.0014814814814814814
43;2;0.0009876543209876543
44;2;0.0009876543209876543
45;2;0.0009876543209876543
46;1;0.0004938271604938272
47;3;0.0014814814814814814
48;5;0.0024691358024691358
49;2;0.0009876543209876543
