frequency;num_words;rel_num_words
1;415;0.21012658227848102
2;245;0.1240506329113924
3;169;0.08556962025316456
4;155;0.07848101265822785
5;99;0.05012658227848101
6;87;0.044050632911392405
7;90;0.04556962025316456
8;70;0.035443037974683546
9;56;0.028354430379746835
10;35;0.017721518987341773
11;37;0.018734177215189874
12;46;0.02329113924050633
13;29;0.014683544303797468
14;22;0.011139240506329114
15;27;0.013670886075949367
16;31;0.01569620253164557
17;22;0.011139240506329114
18;11;0.005569620253164557
19;12;0.0060759493670886075
20;10;0.005063291139240506
21;13;0.006582278481012658
22;6;0.0030379746835443038
23;10;0.005063291139240506
24;13;0.006582278481012658
25;5;0.002531645569620253
26;9;0.004556962025316456
27;6;0.0030379746835443038
28;11;0.005569620253164557
29;10;0.005063291139240506
30;8;0.004050632911392405
31;6;0.0030379746835443038
32;3;0.0015189873417721519
33;5;0.002531645569620253
34;6;0.0030379746835443038
35;6;0.0030379746835443038
36;3;0.0015189873417721519
37;7;0.0035443037974683543
38;2;0.0010126582278481013
39;4;0.0020253164556962027
40;3;0.0015189873417721519
41;3;0.0015189873417721519
42;6;0.0030379746835443038
43;2;0.0010126582278481013
44;3;0.0015189873417721519
45;2;0.0010126582278481013
46;1;0.0005063291139240507
47;1;0.0005063291139240507
48;3;0.0015189873417721519
49;3;0.0015189873417721519
