frequency;num_words;rel_num_words
1;507;0.21473951715374842
2;319;0.1351122405760271
3;220;0.09318085556967387
4;136;0.05760271071579839
5;121;0.051249470563320625
6;98;0.04150783566285472
7;86;0.03642524354087251
8;76;0.03218975010588734
9;50;0.021177467174925878
10;30;0.012706480304955527
11;38;0.01609487505294367
12;43;0.018212621770436255
13;42;0.017789072426937738
14;44;0.018636171113934775
15;23;0.009741634900465904
16;28;0.011859381617958492
17;25;0.010588733587462939
18;19;0.008047437526471834
19;16;0.006776789495976281
20;17;0.007200338839474798
21;13;0.005506141465480729
22;18;0.007623888182973317
23;14;0.005929690808979246
24;14;0.005929690808979246
25;9;0.0038119440914866584
26;12;0.005082592121982211
27;15;0.0063532401524777635
28;10;0.004235493434985175
29;8;0.0033883947479881405
30;12;0.005082592121982211
31;9;0.0038119440914866584
32;8;0.0033883947479881405
33;5;0.0021177467174925877
34;13;0.005506141465480729
35;7;0.002964845404489623
36;11;0.004659042778483694
37;7;0.002964845404489623
38;4;0.0016941973739940702
39;2;0.0008470986869970351
40;3;0.0012706480304955528
41;3;0.0012706480304955528
42;2;0.0008470986869970351
43;4;0.0016941973739940702
44;3;0.0012706480304955528
45;8;0.0033883947479881405
46;4;0.0016941973739940702
47;10;0.004235493434985175
48;4;0.0016941973739940702
49;3;0.0012706480304955528
