frequency;num_words;rel_num_words
1;392;0.18056195301704284
2;245;0.11285122063565177
3;218;0.10041455550437586
4;190;0.08751727314601566
5;162;0.07461999078765545
6;106;0.048825426070935055
7;90;0.041455550437586364
8;81;0.037309995393827726
9;72;0.033164440350069095
10;55;0.025333947489636112
11;45;0.020727775218793182
12;32;0.014739751266697375
13;27;0.01243666513127591
14;22;0.010133578995854445
15;34;0.01566098572086596
16;22;0.010133578995854445
17;25;0.011515430677107323
18;17;0.00783049286043298
19;26;0.011976047904191617
20;22;0.010133578995854445
21;9;0.004145555043758637
22;14;0.006448641179180101
23;14;0.006448641179180101
24;12;0.0055274067250115156
25;9;0.004145555043758637
26;9;0.004145555043758637
27;8;0.0036849378166743437
28;13;0.005988023952095809
29;5;0.0023030861354214646
30;6;0.0027637033625057578
31;7;0.0032243205895900505
32;3;0.0013818516812528789
33;4;0.0018424689083371719
34;5;0.0023030861354214646
35;7;0.0032243205895900505
36;5;0.0023030861354214646
37;5;0.0023030861354214646
38;8;0.0036849378166743437
39;5;0.0023030861354214646
40;3;0.0013818516812528789
41;0;0.0
42;0;0.0
43;2;0.0009212344541685859
44;1;0.00046061722708429296
45;0;0.0
46;5;0.0023030861354214646
47;0;0.0
48;2;0.0009212344541685859
49;2;0.0009212344541685859
